Year,Month,Facility,Total,Sentence,Detainees,Combatants,Legal Proceedings,Admin
2017,May            ,IDF   ,242,0,242,0,0,0
2017,April          ,IPS   ,5954,3505,297,2,1664,486
2017,April          ,IDF   ,162,0,162,0,0,0
2017,March          ,IPS   ,5978,3630,274,2,1580,492
2017,March          ,IDF   ,210,0,210,0,0,0
2017,Feb.           ,IPS   ,5973,3608,272,1,1578,514
2017,Feb.           ,IDF   ,220,0,220,0,0,0
2017,Jan.           ,IPS   ,5986,3589,264,0,1602,531
2017,Jan.           ,IDF   ,277,0,277,0,0,0
2017,Dec.           ,IPS   ,773,522,251,0,0,0
2017,Dec.           ,IDF   ,2,0,2,0,0,0
2017,Nov.           ,IPS   ,730,526,204,0,0,0
2017,Nov.           ,IDF   ,4,0,4,0,0,0
2017,Oct.           ,IPS   ,734,516,218,0,0,0
2017,Oct.           ,IDF   ,6,0,6,0,0,0
2017,Sept.          ,IPS   ,800,554,246,0,0,0
2017,Sept.          ,IDF   ,21,0,21,0,0,0
2017,August         ,IPS   ,803,541,262,0,0,0
2017,August         ,IDF   ,17,0,17,0,0,0
2017,July           ,IPS   ,846,611,235,0,0,0
2017,July           ,IDF   ,19,0,19,0,0,0
2017,June           ,IPS   ,746,521,225,0,0,0
2017,June           ,IDF   ,10,0,10,0,0,0
2017,May            ,IPS   ,811,556,255,0,0,0
2017,May            ,IDF   ,21,0,21,0,0,0
2017,April          ,IPS   ,828,556,272,0,0,0
2017,April          ,IDF   ,9,0,9,0,0,0
2017,March          ,IPS   ,925,593,332,0,0,0
2017,March          ,IDF   ,11,0,11,0,0,0
2017,Feb.           ,IPS   ,898,586,312,0,0,0
2017,Feb.           ,IDF   ,12,0,12,0,0,0
2017,Jan.           ,IPS   ,872,550,322,0,0,0
2017,Jan.           ,IDF   ,9,0,9,0,0,0
2016,Dec.           ,IPS   ,5943,3561,253,0,1594,535
2016,Dec.           ,IDF   ,146,0,146,0,0,0
2016,Nov.           ,IPS   ,5979,3542,248,0,1613,576
2016,Nov.           ,IDF   ,181,0,180,0,0,1
2016,Oct.           ,IPS   ,6065,3474,310,0,1683,598
2016,Oct.           ,IDF   ,143,0,142,0,0,1
2016,Sept.          ,IPS   ,6029,3547,246,0,1628,608
2016,Sept.          ,IDF   ,189,0,183,0,0,6
2016,August         ,IPS   ,5988,3530,235,1,1578,644
2016,August         ,IDF   ,209,0,207,0,0,2
2016,July           ,IPS   ,6068,3516,227,1,1682,642
2016,July           ,IDF   ,194,0,194,0,0,0
2016,June           ,IPS   ,6108,3528,227,1,1667,685
2016,June           ,IDF   ,197,0,196,0,0,1
2016,May            ,IPS   ,6189,3601,219,1,1690,678
2016,May            ,IDF   ,178,0,173,0,0,5
2016,April          ,IPS   ,6295,3580,249,1,1773,692
2016,April          ,IDF   ,168,0,166,0,0,2
2016,March          ,IPS   ,6313,3589,278,1,1757,688
2016,March          ,IDF   ,369,0,334,0,0,35
2016,Feb.           ,IPS   ,6204,3520,321,1,1735,627
2016,Feb.           ,IDF   ,285,0,252,0,0,33
2016,Jan.           ,IPS   ,6072,3497,256,1,1750,568
2016,Jan.           ,IDF   ,241,0,230,0,0,11
2016,Dec.           ,IPS   ,757,501,256,0,0,0
2016,Dec.           ,IDF   ,11,0,11,0,0,0
2016,Nov.           ,IPS   ,792,530,262,0,0,0
2016,Nov.           ,IDF   ,6,0,6,0,0,0
2016,Oct.           ,IPS   ,777,493,284,0,0,0
2016,Oct.           ,IDF   ,10,0,10,0,0,0
2016,Sept.          ,IPS   ,818,546,272,0,0,0
2016,Sept.          ,IDF   ,14,0,14,0,0,0
2016,August         ,IPS   ,910,568,342,0,0,0
2016,August         ,IDF   ,22,0,22,0,0,0
2016,July           ,IPS   ,894,582,312,0,0,0
2016,July           ,IDF   ,31,0,31,0,0,0
2016,June           ,IPS   ,781,500,281,0,0,0
2016,June           ,IDF   ,18,0,18,0,0,0
2016,May            ,IPS   ,763,524,239,0,0,0
2016,May            ,IDF   ,3,0,3,0,0,0
2016,April          ,IPS   ,749,533,216,0,0,0
2016,April          ,IDF   ,4,0,4,0,0,0
2016,March          ,IPS   ,0,0,0,0,0,0
2016,March          ,IDF   ,3,0,3,0,0,0
2016,Feb.           ,IPS   ,874,617,257,0,0,0
2016,Feb.           ,IDF   ,2,0,2,0,0,0
2016,Jan.           ,IPS   ,873,635,238,0,0,0
2016,Jan.           ,IDF   ,7,0,7,0,0,0
2015,Dec.           ,IPS   ,6066,3445,297,0,1740,584
2015,Dec.           ,IDF   ,255,0,238,0,0,17
2015,Nov.           ,IPS   ,5936,3357,357,0,1695,527
2015,Nov.           ,IDF   ,357,0,332,0,0,25
2015,Oct.           ,IPS   ,5683,3358,383,0,1513,429
2015,Oct.           ,IDF   ,369,0,345,0,0,24
2015,Sept.          ,IPS   ,5244,3392,174,0,1363,315
2015,Sept.          ,IDF   ,110,0,104,0,0,6
2015,August         ,IPS   ,5373,3496,185,0,1351,341
2015,August         ,IDF   ,127,0,126,0,0,1
2015,July           ,IPS   ,5369,3536,159,1,1331,342
2015,July           ,IDF   ,117,0,117,0,0,0
2015,June           ,IPS   ,5442,3559,149,1,1363,370
2015,June           ,IDF   ,104,0,102,0,0,2
2015,May            ,IPS   ,5516,3538,216,1,1370,391
2015,May            ,IDF   ,132,0,131,0,0,1
2015,April          ,IPS   ,5554,3502,176,1,1479,396
2015,April          ,IDF   ,159,0,155,0,0,4
2015,March          ,IPS   ,5591,3495,184,1,1499,412
2015,March          ,IDF   ,126,0,123,0,0,3
2015,Feb.           ,IPS   ,5609,3428,222,1,1534,424
2015,Feb.           ,IDF   ,132,0,131,0,0,1
2015,Jan.           ,IPS   ,5549,3325,242,1,1526,455
2015,Jan.           ,IDF   ,144,0,140,0,0,4
2015,Dec.           ,IPS   ,901,641,260,0,0,0
2015,Dec.           ,IDF   ,5,0,5,0,0,0
2015,Nov.           ,IPS   ,962,597,365,0,0,0
2015,Nov.           ,IDF   ,4,0,4,0,0,0
2015,Oct.           ,IPS   ,928,618,310,0,0,0
2015,Oct.           ,IDF   ,14,0,14,0,0,0
2015,Sept.          ,IPS   ,846,611,235,0,0,0
2015,Sept.          ,IDF   ,21,0,21,0,0,0
2015,August         ,IPS   ,977,652,325,0,0,0
2015,August         ,IDF   ,32,0,32,0,0,0
2015,July           ,IPS   ,972,714,258,0,0,0
2015,July           ,IDF   ,20,0,20,0,0,0
2015,June           ,IPS   ,972,731,241,0,0,0
2015,June           ,IDF   ,21,0,21,0,0,0
2015,May            ,IPS   ,1022,755,267,0,0,0
2015,May            ,IDF   ,31,0,31,0,0,0
2015,April          ,IPS   ,1028,749,279,0,0,0
2015,April          ,IDF   ,25,0,25,0,0,0
2015,March          ,IPS   ,1061,777,284,0,0,0
2015,March          ,IDF   ,43,0,43,0,0,0
2015,Feb.           ,IPS   ,1061,787,274,0,0,0
2015,Feb.           ,IDF   ,14,0,14,0,0,0
2015,Jan.           ,IPS   ,1043,758,285,0,0,0
2015,Jan.           ,IDF   ,31,0,31,0,0,0
2014,Dec.           ,IPS   ,5528,3347,206,1,1511,463
2014,Dec.           ,IDF   ,191,0,182,0,0,9
2014,Nov.           ,IPS   ,5527,3304,227,1,1534,461
2014,Nov.           ,IDF   ,151,0,144,0,0,7
2014,Oct.           ,IPS   ,5477,3156,224,1,1609,457
2014,Oct.           ,IDF   ,150,0,145,0,0,5
2014,Sept.          ,IPS   ,5439,3127,220,1,1623,468
2014,Sept.          ,IDF   ,192,0,183,0,0,9
2014,August         ,IPS   ,5505,3120,261,1,1650,473
2014,August         ,IDF   ,45,0,45,0,0,0
2014,July           ,IPS   ,5383,3090,270,0,1577,446
2014,July           ,IDF   ,29,0,29,0,0,0
2014,June           ,IPS   ,5318,3141,317,0,1497,363
2014,June           ,IDF   ,29,0,29,0,0,0
2014,May            ,IPS   ,5053,3144,237,0,1476,196
2014,May            ,IDF   ,27,0,27,0,0,0
2014,April          ,IPS   ,5021,3133,202,0,1495,191
2014,April          ,IDF   ,25,0,25,0,0,0
2014,March          ,IPS   ,4999,3133,209,0,1471,186
2014,March          ,IDF   ,11,0,11,0,0,0
2014,Feb.           ,IPS   ,4961,3072,238,0,1470,181
2014,Feb.           ,IDF   ,21,0,21,0,0,0
2014,Jan.           ,IPS   ,4881,3095,235,0,1376,175
2014,Jan.           ,IDF   ,49,0,49,0,0,0
2014,Dec.           ,IPS   ,1115,805,310,0,0,0
2014,Dec.           ,IDF   ,56,0,56,0,0,0
2014,Nov.           ,IPS   ,1276,866,410,0,0,0
2014,Nov.           ,IDF   ,37,0,37,0,0,0
2014,Oct.           ,IPS   ,1188,813,375,0,0,0
2014,Oct.           ,IDF   ,29,0,29,0,0,0
2014,Sept.          ,IPS   ,1231,850,381,0,0,0
2014,Sept.          ,IDF   ,72,0,72,0,0,0
2014,August         ,IPS   ,1329,821,508,0,0,0
2014,July           ,IPS   ,1195,839,356,0,0,0
2014,June           ,IPS   ,1274,850,424,0,0,0
2014,May            ,IPS   ,1313,873,440,0,0,0
2014,April          ,IPS   ,1333,899,434,0,0,0
2014,March          ,IPS   ,1444,985,459,0,0,0
2014,Feb.           ,IPS   ,1403,925,478,0,0,0
2014,Jan.           ,IPS   ,1415,962,453,0,0,0
2013,Dec.           ,IPS   ,4768,3078,189,0,1351,150
2013,Nov.           ,IPS   ,4785,3123,218,0,1301,143
2013,Oct.           ,IPS   ,4753,3112,202,0,1299,140
2013,Sept.          ,IPS   ,4806,3133,239,0,1299,135
2013,August         ,IPS   ,4762,3161,172,0,1295,134
2013,July           ,IPS   ,4828,3306,169,0,1219,134
2013,June           ,IPS   ,4827,3308,232,0,1150,137
2013,May            ,IPS   ,4817,3286,190,0,1194,147
2013,April          ,IPS   ,4748,3188,189,0,1216,155
2013,March          ,IPS   ,4764,3190,214,0,1196,164
2013,Feb.           ,IPS   ,4713,3159,267,0,1118,169
2013,Jan.           ,IPS   ,4593,3207,158,0,1069,159
2013,Dec.           ,"1,284 ",869,415,0,0,0,0
2013,Nov.           ,"1,342 ",886,456,0,0,0,0
2013,Oct.           ,"1,258 ",852,406,0,0,0,0
2013,Sept.          ,"1,280 ",834,446,0,0,0,0
2013,August         ,"1,297 ",809,488,0,0,0,0
2013,July           ,"1,276 ",912,364,0,0,0,0
2013,June           ,"1,267 ",895,372,0,0,0,0
2013,May            ,"1,330 ",902,428,0,0,0,0
2013,April          ,"1,388 ",960,378,0,0,0,0
2013,March          ,"1,401 ",1018,383,0,0,0,0
2013,Feb.           ,"1,465 ",1054,411,0,0,0,0
2013,Jan.           ,"1,489 ",1098,391,0,0,0,0
2012,Dec.           ,IPS   ,4517,3089,219,0,1031,178
2012,Nov.           ,IPS   ,4432,3048,216,0,990,178
2012,Oct.           ,IPS   ,4298,3082,135,0,925,156
2012,Sept.          ,IPS   ,4373,3101,161,0,920,184
2012,August         ,IPS   ,4378,3078,145,0,943,212
2012,July           ,IPS   ,4423,3125,129,0,919,250
2012,June           ,IPS   ,4484,3119,170,1,909,285
2012,May            ,IPS   ,4437,3094,144,1,896,302
2012,April          ,IPS   ,4424,3097,165,1,853,308
2012,March          ,IPS   ,4386,3125,145,1,795,320
2012,Feb.           ,IPS   ,4411,3213,164,1,713,320
2012,Jan.           ,IPS   ,4357,3215,156,1,676,309
2012,Dec.           ,IPS   ,1356,927,429,0,0,0
2012,Nov.           ,IPS   ,1336,859,477,0,0,0
2012,Oct.           ,IPS   ,1240,788,452,0,0,0
2012,Sept.          ,IPS   ,1308,840,468,0,0,0
2012,August         ,IPS   ,1299,834,465,0,0,0
2012,July           ,IPS   ,1371,948,423,0,0,0
2012,June           ,IPS   ,1268,854,414,0,0,0
2012,May            ,IPS   ,1249,847,402,0,0,0
2012,April          ,IPS   ,1206,822,384,0,0,0
2012,March          ,IPS   ,1289,900,389,0,0,0
2012,Feb.           ,IPS   ,1375,980,395,0,0,0
